Name,Proj.,Own,Optimal,Team,Pos,Floor,Median,Ceiling,Salary
Chris Sale,20.18,54.7,32.03,ATL,SP,12.94,20.16,27.53,10500
Andrew Abbott,15.6,35.49,30.83,CIN,SP,9.22,15.57,22.27,8200
Jon Gray,14.05,24.01,22.77,TEX,SP,6.93,14.08,21.07,7000
Chris Paddack,11.83,10.98,17.17,MIN,SP,4.94,11.79,18.14,7500
Gavin Williams,13.05,17.09,18.03,CLE,SP,7.42,13.23,19.06,8500
Ryan Feltner,12.08,12.85,17.8,COL,SP,5.88,12,18.54,5500
Yilber Diaz,11.54,14.62,18.73,ARI,SP,4.45,11.46,19.24,6000
Jose Ramirez,9.88,15.7,14.97,CLE,3B,3.57,9.79,16.15,6500
Corey Seager,10.08,18.25,19.63,TEX,SS,4.47,10.41,15.85,5000
Chris Flexen,10.48,6.56,11.73,CWS,SP,4.21,10.71,17.19,6500
Davis Daniel,12.54,13.15,19.27,LAA,SP,5.02,12.28,19.97,8000
Elly De La Cruz,10.99,27.93,12.8,CIN,SS,3.75,11.02,18.06,6300
Keider Montero,9.49,10.55,11.63,DET,SP,4.79,9.5,14.03,4000
Marcus Semien,9.05,9.52,16.7,TEX,2B,3.19,9.05,14.89,4900
Marcell Ozuna,8.49,10.46,9.97,ATL,OF,3.05,8.65,14.37,5700
Carlos Correa,9.33,10.98,18.53,MIN,SS,3.12,9.29,15.18,5400
Byron Buxton,9.55,22.22,20.43,MIN,OF,3.26,9.57,15.58,4600
Matt Olson,9.15,13.76,8.4,ATL,1B,3.29,9.07,14.39,5000
Charlie Blackmon,7.48,6.33,6.67,COL,OF,2.47,7.71,13.1,4100
Tommy Pham,7.99,7.14,6.4,CWS,OF,3.29,8.29,13.34,4300
Ketel Marte,8.52,4.57,11.63,ARI,2B,3.44,8.64,13.6,5300
Max Kepler,8.16,15.78,12.1,MIN,OF,3.12,8.41,13.61,4200
Jeimer Candelario,8.66,13.5,18.93,CIN,1B,3.36,8.73,14.15,4300
Josh Naylor,8.77,9.75,9.23,CLE,1B,3.03,9.05,14.74,5600
Austin Riley,9.15,15.64,12.8,ATL,3B,3.24,8.83,14.54,5100
Ozzie Albies,8.75,9.91,9.6,ATL,2B,3.63,8.78,14.34,5200
Willi Castro,8.69,16.11,10.9,MIN,2B/OF,3.5,8.58,14.03,4800
Luis Robert,8.85,11.98,14.93,CWS,OF,2.72,8.88,14.75,5100
Andres Gimenez,7.98,5.66,11.73,CLE,2B,2.78,8.11,13.11,4500
Adolis Garcia,8.87,12.24,14.8,TEX,OF,2.88,9.14,14.91,4600
Jarred Kelenic,8.42,15.81,11.47,ATL,OF,3.27,8.66,13.85,4000
Jonathan India,8.77,16.72,12.4,CIN,2B,3.29,8.76,14.05,4100
Trevor Larnach,7.48,13.04,12.53,MIN,OF,2.65,7.36,12.43,4000
Spencer Steer,8.65,12.05,9.6,CIN,1B,3.69,8.62,13.95,4900
Steven Kwan,8.31,11.96,9.53,CLE,OF,3.29,8.33,13.3,5800
Mark Canha,7.13,5.59,9.6,DET,1B/OF,2.49,6.87,11.54,3500
Adam Duvall,6.97,10.39,10.67,ATL,OF,2.16,6.93,11.95,3000
Elias Diaz,7.23,7.54,13.73,COL,C,2.48,7.15,11.61,4000
Andrew Benintendi,7.1,9.23,6.4,CWS,OF,2.44,7,11.51,3000
Will Benson,7.22,13.28,9.63,CIN,OF,2.13,7.41,12.7,3400
Eloy Jimenez,7.61,6.92,6.4,CWS,OF,2.84,7.65,12.44,4000
Brendan Rodgers,7.67,10.02,8.53,COL,2B,3.06,7.43,12.38,3700
Ryan McMahon,7.56,5.54,7.6,COL,3B,2.87,7.87,12.87,4500
Sean Murphy,7.67,15.33,11.77,ATL,C,1.98,7.65,12.85,3400
Edwin Rios,6.75,9.01,8.93,CIN,1B,1.97,6.95,11.72,2000
Nate Lowe,7.61,7.34,10.67,TEX,1B,2.41,7.41,12.33,3700
Christian Walker,7.76,4.15,3.2,ARI,1B,1.98,7.72,13.55,5200
Taylor Ward,7.99,8.58,16.03,LAA,OF,2.63,7.6,12.83,4400
Jonah Heim,6.72,6,8.53,TEX,C,2,6.63,11.49,3300
Tyler Stephenson,7.57,15.45,5.33,CIN,C,3.28,7.6,12.29,3500
Ryan Jeffers,8.02,9.51,16.83,MIN,C,2.86,8.27,13.76,4500
Matt Wallner,6.39,12.47,9.6,MIN,OF,2.12,6.42,10.59,3000
Riley Greene,7.86,8.17,8.17,DET,OF,2.38,7.81,13.24,4900
Noelvi Marte,7.37,10.28,11.47,CIN,3B,2.22,7.18,12.14,3900
Logan O'Hoppe,7.61,7.05,13.87,LAA,C,2.66,7.4,12.81,4300
